Episode 22800/100000 | Avg Score: 21982.00 | Success Rate: 0.48
Episode 22900/100000 | Avg Score: 22322.72 | Success Rate: 0.45
Episode 23000/100000 | Avg Score: 23365.04 | Success Rate: 0.54
Episode 23100/100000 | Avg Score: 23710.44 | Success Rate: 0.50
Episode 23200/100000 | Avg Score: 21517.72 | Success Rate: 0.47
Episode 23300/100000 | Avg Score: 22029.48 | Success Rate: 0.48
Episode 23400/100000 | Avg Score: 23652.72 | Success Rate: 0.46
Episode 23500/100000 | Avg Score: 23387.84 | Success Rate: 0.48
Episode 23600/100000 | Avg Score: 22954.28 | Success Rate: 0.47
Episode 23700/100000 | Avg Score: 24647.24 | Success Rate: 0.46
Episode 23800/100000 | Avg Score: 23346.72 | Success Rate: 0.48
Episode 23900/100000 | Avg Score: 22372.68 | Success Rate: 0.43
Episode 24000/100000 | Avg Score: 19760.32 | Success Rate: 0.39
Episode 24100/100000 | Avg Score: 22612.60 | Success Rate: 0.44
Episode 24200/100000 | Avg Score: 21507.80 | Success Rate: 0.45
Episode 24300/100000 | Avg Score: 20502.96 | Success Rate: 0.42
Episode 24400/100000 | Avg Score: 21502.24 | Success Rate: 0.42
Episode 24500/100000 | Avg Score: 22514.24 | Success Rate: 0.43
Episode 24600/100000 | Avg Score: 23366.00 | Success Rate: 0.56
Episode 24700/100000 | Avg Score: 24313.68 | Success Rate: 0.53
Episode 24800/100000 | Avg Score: 24216.84 | Success Rate: 0.48
Episode 24900/100000 | Avg Score: 24535.00 | Success Rate: 0.52
Episode 25000/100000 | Avg Score: 23488.36 | Success Rate: 0.47
Episode 25100/100000 | Avg Score: 23873.20 | Success Rate: 0.55
Episode 25200/100000 | Avg Score: 23868.52 | Success Rate: 0.54
Episode 25300/100000 | Avg Score: 21157.80 | Success Rate: 0.41
Episode 25400/100000 | Avg Score: 25166.72 | Success Rate: 0.55
Episode 25500/100000 | Avg Score: 23498.96 | Success Rate: 0.48
Episode 25600/100000 | Avg Score: 24006.40 | Success Rate: 0.51
Episode 25700/100000 | Avg Score: 23288.24 | Success Rate: 0.49
Episode 25800/100000 | Avg Score: 25411.84 | Success Rate: 0.54
Episode 25900/100000 | Avg Score: 22902.36 | Success Rate: 0.45
Episode 26000/100000 | Avg Score: 22820.56 | Success Rate: 0.47
Episode 26100/100000 | Avg Score: 20625.04 | Success Rate: 0.44
Episode 26200/100000 | Avg Score: 23901.96 | Success Rate: 0.52
Episode 26300/100000 | Avg Score: 23345.24 | Success Rate: 0.47
Episode 26400/100000 | Avg Score: 23559.56 | Success Rate: 0.51
Episode 26500/100000 | Avg Score: 22700.12 | Success Rate: 0.42
Episode 26600/100000 | Avg Score: 25675.08 | Success Rate: 0.60
Episode 26700/100000 | Avg Score: 21169.04 | Success Rate: 0.37
Episode 26800/100000 | Avg Score: 24525.64 | Success Rate: 0.45
Episode 26900/100000 | Avg Score: 22992.40 | Success Rate: 0.44
Episode 27000/100000 | Avg Score: 23327.84 | Success Rate: 0.53
Episode 27100/100000 | Avg Score: 22494.08 | Success Rate: 0.43
Episode 27200/100000 | Avg Score: 22612.60 | Success Rate: 0.50
Episode 27300/100000 | Avg Score: 23627.96 | Success Rate: 0.53
Episode 27400/100000 | Avg Score: 25146.72 | Success Rate: 0.53
Episode 27500/100000 | Avg Score: 23751.12 | Success Rate: 0.49
Episode 27600/100000 | Avg Score: 22773.24 | Success Rate: 0.44
Episode 27700/100000 | Avg Score: 23189.24 | Success Rate: 0.51
Episode 27800/100000 | Avg Score: 22514.44 | Success Rate: 0.43
Episode 27900/100000 | Avg Score: 22922.04 | Success Rate: 0.44
Episode 28000/100000 | Avg Score: 23532.28 | Success Rate: 0.51
Episode 28100/100000 | Avg Score: 20711.40 | Success Rate: 0.43
Episode 28200/100000 | Avg Score: 22448.48 | Success Rate: 0.43
